,paragraph_ID,text_ID,filename,condition
0,1,3,C_t3_p1,C
1,2,3,C_t3_p2,C
2,3,3,C_t3_p3,C
3,4,3,C_t3_p4,C
4,5,3,C_t3_p5,C
5,6,3,C_t3_p6,C
6,1,5,N_t5_p1,N
7,2,5,N_t5_p2,N
8,3,5,N_t5_p3,N
9,4,5,N_t5_p4,N
10,5,5,N_t5_p5,N
11,6,5,N_t5_p6,N
12,1,1,H_t1_p1,H
13,2,1,H_t1_p2,H
14,3,1,H_t1_p3,H
15,4,1,H_t1_p4,H
16,5,1,H_t1_p5,H
17,6,1,H_t1_p6,H
18,1,2,N_t2_p1,N
19,2,2,N_t2_p2,N
20,3,2,N_t2_p3,N
21,4,2,N_t2_p4,N
22,5,2,N_t2_p5,N
23,6,2,N_t2_p6,N
24,1,6,C_t6_p1,C
25,2,6,C_t6_p2,C
26,3,6,C_t6_p3,C
27,4,6,C_t6_p4,C
28,5,6,C_t6_p5,C
29,6,6,C_t6_p6,C
30,1,4,H_t4_p1,H
31,2,4,H_t4_p2,H
32,3,4,H_t4_p3,H
33,4,4,H_t4_p4,H
34,5,4,H_t4_p5,H
35,6,4,H_t4_p6,H
