,paragraph_ID,text_ID,filename,condition
0,1,1,C_t1_p1,C
1,2,1,C_t1_p2,C
2,3,1,C_t1_p3,C
3,4,1,C_t1_p4,C
4,5,1,C_t1_p5,C
5,6,1,C_t1_p6,C
6,1,6,N_t6_p1,N
7,2,6,N_t6_p2,N
8,3,6,N_t6_p3,N
9,4,6,N_t6_p4,N
10,5,6,N_t6_p5,N
11,6,6,N_t6_p6,N
12,1,5,H_t5_p1,H
13,2,5,H_t5_p2,H
14,3,5,H_t5_p3,H
15,4,5,H_t5_p4,H
16,5,5,H_t5_p5,H
17,6,5,H_t5_p6,H
18,1,2,H_t2_p1,H
19,2,2,H_t2_p2,H
20,3,2,H_t2_p3,H
21,4,2,H_t2_p4,H
22,5,2,H_t2_p5,H
23,6,2,H_t2_p6,H
24,1,3,N_t3_p1,N
25,2,3,N_t3_p2,N
26,3,3,N_t3_p3,N
27,4,3,N_t3_p4,N
28,5,3,N_t3_p5,N
29,6,3,N_t3_p6,N
30,1,4,C_t4_p1,C
31,2,4,C_t4_p2,C
32,3,4,C_t4_p3,C
33,4,4,C_t4_p4,C
34,5,4,C_t4_p5,C
35,6,4,C_t4_p6,C
