,paragraph_ID,text_ID,filename,condition
0,1,6,N_t6_p1,N
1,2,6,N_t6_p2,N
2,3,6,N_t6_p3,N
3,4,6,N_t6_p4,N
4,5,6,N_t6_p5,N
5,6,6,N_t6_p6,N
6,1,3,N_t3_p1,N
7,2,3,N_t3_p2,N
8,3,3,N_t3_p3,N
9,4,3,N_t3_p4,N
10,5,3,N_t3_p5,N
11,6,3,N_t3_p6,N
12,1,4,C_t4_p1,C
13,2,4,C_t4_p2,C
14,3,4,C_t4_p3,C
15,4,4,C_t4_p4,C
16,5,4,C_t4_p5,C
17,6,4,C_t4_p6,C
18,1,2,H_t2_p1,H
19,2,2,H_t2_p2,H
20,3,2,H_t2_p3,H
21,4,2,H_t2_p4,H
22,5,2,H_t2_p5,H
23,6,2,H_t2_p6,H
24,1,1,C_t1_p1,C
25,2,1,C_t1_p2,C
26,3,1,C_t1_p3,C
27,4,1,C_t1_p4,C
28,5,1,C_t1_p5,C
29,6,1,C_t1_p6,C
30,1,5,H_t5_p1,H
31,2,5,H_t5_p2,H
32,3,5,H_t5_p3,H
33,4,5,H_t5_p4,H
34,5,5,H_t5_p5,H
35,6,5,H_t5_p6,H
