,paragraph_ID,text_ID,filename,condition
0,1,6,H_t6_p1,H
1,2,6,H_t6_p2,H
2,3,6,H_t6_p3,H
3,4,6,H_t6_p4,H
4,5,6,H_t6_p5,H
5,6,6,H_t6_p6,H
6,1,4,N_t4_p1,N
7,2,4,N_t4_p2,N
8,3,4,N_t4_p3,N
9,4,4,N_t4_p4,N
10,5,4,N_t4_p5,N
11,6,4,N_t4_p6,N
12,1,2,C_t2_p1,C
13,2,2,C_t2_p2,C
14,3,2,C_t2_p3,C
15,4,2,C_t2_p4,C
16,5,2,C_t2_p5,C
17,6,2,C_t2_p6,C
18,1,5,C_t5_p1,C
19,2,5,C_t5_p2,C
20,3,5,C_t5_p3,C
21,4,5,C_t5_p4,C
22,5,5,C_t5_p5,C
23,6,5,C_t5_p6,C
24,1,1,N_t1_p1,N
25,2,1,N_t1_p2,N
26,3,1,N_t1_p3,N
27,4,1,N_t1_p4,N
28,5,1,N_t1_p5,N
29,6,1,N_t1_p6,N
30,1,3,H_t3_p1,H
31,2,3,H_t3_p2,H
32,3,3,H_t3_p3,H
33,4,3,H_t3_p4,H
34,5,3,H_t3_p5,H
35,6,3,H_t3_p6,H
